purchaseorder,po_itemnumber,purchaserequisition,pr_itemnumber,po_serialnumber,po_returnsitem,po_purchasingdoctype,po_purchasingdoctypedesc,po_purchasingdocdate,po_deletionindicator,po_purchasingorg,po_purchasingorgdesc,po_companycode,po_companycodedesc,po_purchasinggroup,po_purchasinggroupdesc,po_vendornumber,po_vendorname,po_vendoraccountgroup,po_vendoraccountgroupdesc,po_supplierclassification,po_countrykey,po_localorinternational,po_plant,po_plantdesc,po_storageloc,po_createdon,po_createdby_name,po_documentyear,po_accountassignmentcat,po_accountassignmentcatdesc,po_accntassignmentcatvaluedesc,po_version,po_incoterms1,po_processingstatuscode,po_processingstatus,po_postingdate,po_approvaldate,po_paymentterms,po_paymenttermsdesc,material,materialdesc,materialgroup,materialgroupdesc,materialtype,materialtypedesc,po_deliverydate,po_unitofmeasure,po_orderpriceunit,po_orderquantity,po_priceunit,po_netprice,po_currency,po_netordervalue,po_netamount,po_deliveredqty,po_deliveredqtyvalue,po_pendingdeliveryqty,po_pendingdeliveryvalue,po_deliverycompleteindicator,po_paymentstatus,po_advancepayment,po_paymentdate,po_headerstatus,po_itemstatus,pr_documenttype,pr_creationdate,pr_createdby_name,pr_approvalstatuscode,pr_approvalstatus,pr_approveddate,pr_processingstatuscode,pr_processingstatus,pr_companycode,pr_companycodedesc,pr_plant,pr_plantdesc,pr_orderqty,pr_unitofmeasure,pr_closedindicator,pr_deletionindicator,recordskipindicator,lastchangedatetime
null,00000,2000140418,00020,0,null,null,null,00000000,null,null,null,null,null,595,Kent Saro,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231101,Kent Saro,null,Rejected,20231101,N,N-Not edited,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,1,UNT,null,null,null,null
null,00000,4000044875,00010,0,null,null,null,00000000,null,null,null,null,null,332,Christian PAT,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,2000014521,CAMP ACCOMMODATION RENTAL CHARGES,D050000,Speciality Services,SERV,Services,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZSPR,20231018,Christian PAT,X,Approved,20231018,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,3,MON,null,null,null,null
null,00000,4000044842,00010,0,null,null,null,00000000,null,null,null,null,null,332,Christian PAT,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,2000014521,CAMP ACCOMMODATION RENTAL CHARGES,D050000,Speciality Services,SERV,Services,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZSPR,20231018,Christian PAT,X,Approved,20231018,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,8,MON,null,null,null,null
null,00000,4000044842,00020,0,null,null,null,00000000,null,null,null,null,null,332,Christian PAT,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,2000001515,SUPPLY OF FOOD,G121430,Food Expenses,SERV,Services,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZSPR,20231018,Christian PAT,X,Approved,20231018,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,8,NO,null,null,null,null
null,00000,4000044797,00050,0,null,null,null,00000000,null,null,null,null,null,332,Christian PAT,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,2000000185,INSURANCE CHARGES,G190000,Insurances,SERV,Services,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZSPR,20231018,Christian PAT,null,null,00000000,N,N-Not edited,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,1000,UNT,null,null,null,null
null,00000,2000140686,00010,0,null,null,null,00000000,null,null,null,null,null,595,Kent Saro,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231101,Kent Saro,X,Approved,20231102,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,60,UNT,null,null,null,null
null,00000,2000140686,00020,0,null,null,null,00000000,null,null,null,null,null,595,Kent Saro,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231101,Kent Saro,X,Approved,20231102,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,10,UNT,null,null,null,null
null,00000,2000140686,00030,0,null,null,null,00000000,null,null,null,null,null,595,Kent Saro,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231101,Kent Saro,X,Approved,20231102,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,10,UNT,null,null,null,null
null,00000,2000140686,00040,0,null,null,null,00000000,null,null,null,null,null,595,Kent Saro,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231101,Kent Saro,X,Approved,20231102,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,15,UNT,null,null,null,null
null,00000,2000140802,00020,0,null,null,null,00000000,null,null,null,null,null,595,Kent Saro,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231101,Kent Saro,X,Approved,20231102,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,1,UNT,null,null,null,null
null,00000,2000126335,00140,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,4000000776,"SUGAR, 5.00 KG",G111160,Kitchen & Pantry Consumables,NLAG,Non-Stock Materials,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230814,Abel Khan,X,Approved,20230827,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,3,PAK,null,null,null,null
null,00000,2000126263,00170,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,4000000753,"PAPER CUP, 7OZ 50 PCS/PACK",G111160,Kitchen & Pantry Consumables,NLAG,Non-Stock Materials,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230814,Abel Khan,X,Approved,20230827,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,60,PAK,null,null,null,null
null,00000,2000126335,00120,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,4000000751,"NESCAFE, RED MUG, 200 GRAMS/BOTTLE",G111160,Kitchen & Pantry Consumables,NLAG,Non-Stock Materials,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230814,Abel Khan,X,Approved,20230827,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,10,NO,null,null,null,null
null,00000,2000126335,00050,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,4000000788,"TEA BAG, LIPTON (100 PCS/PACK) - YELLOW",G111160,Kitchen & Pantry Consumables,NLAG,Non-Stock Materials,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230814,Abel Khan,X,Approved,20230827,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,5,PAK,null,null,null,null
