purchaseorder,po_itemnumber,po_purchaserequisition,po_serialnumber,po_returnsitem,po_purchasingdoctype,po_purchasingdoctypedesc,po_purchasingdocdate,po_deletionindicator,po_purchasingorg,po_purchasingorgdesc,po_companycode,po_companycodedesc,po_purchasinggroup,po_purchasinggroupdesc,po_vendornumber,po_vendorname,po_vendoraccountgroup,po_vendoraccountgroupdesc,po_supplierclassification,po_countrykey,po_localorinternational,po_plant,po_plantdesc,po_storageloc,po_createdon,po_createdby_name,po_documentyear,po_accountassignmentcat,po_accountassignmentcatdesc,po_accntassignmentcatvaluedesc,po_version,po_processingstatuscode,po_processingstatus,po_postingdate,po_approvaldate,po_deliverydate,po_paymentdate,material,materialdesc,materialgroup,materialgroupdesc,materialtype,materialtypedesc,po_orderquantity,po_unitofmeasure,po_netamount,recordskipindicator,po_lastchangedatetime,silver_load_date,silver_load_timestamp
5000020064,00030,null,33061,null,ZSEM,Service PO � Subcon,2023-05-17,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016343,Al Rehab Advanced Trading,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-17,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000001,05,05-Approved,2023-05-31,2023-07-30,2023-06-04,null,2000008543,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,TRP,9586.27,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020064,00040,null,33062,null,ZSEM,Service PO � Subcon,2023-05-17,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016343,Al Rehab Advanced Trading,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-17,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000001,05,05-Approved,2023-06-18,2023-07-30,2023-06-15,null,2000008543,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,TRP,6492.97,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020064,00050,null,33063,null,ZSEM,Service PO � Subcon,2023-05-17,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016343,Al Rehab Advanced Trading,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-17,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000001,05,05-Approved,2023-06-18,2023-07-30,2023-06-15,null,2000008543,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,TRP,24990,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020064,00060,null,33064,null,ZSEM,Service PO � Subcon,2023-05-17,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016343,Al Rehab Advanced Trading,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-17,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000001,05,05-Approved,2023-06-30,2023-07-30,2023-07-31,null,2000008543,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,TRP,7872.83,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020064,00070,null,33065,null,ZSEM,Service PO � Subcon,2023-05-17,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016343,Al Rehab Advanced Trading,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-17,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000001,05,05-Approved,2023-07-30,2023-07-30,2023-07-31,null,2000008543,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,TRP,7546,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020064,00080,null,33066,null,ZSEM,Service PO � Subcon,2023-05-17,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016343,Al Rehab Advanced Trading,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-17,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000001,05,05-Approved,2023-07-30,2023-07-30,2023-07-31,null,2000008543,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,TRP,73655.82,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020064,00090,null,33067,null,ZSEM,Service PO � Subcon,2023-05-17,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016343,Al Rehab Advanced Trading,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-17,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000001,05,05-Approved,2023-09-01,2023-07-30,2023-08-30,null,2000008543,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,TRP,90045.77,null,null,2025-11-24,2025-11-24T19:24:13.818Z
4900011414,00010,null,31203,null,ZSCA,SubContract PO,2023-05-18,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003887,Namariq Arabian Services Co. Ltd.,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-18,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2024-01-07,2023-05-24,2023-05-18,null,null,Accommodation Charges for Worker,L030010,Accommodation,null,null,30000,10,779100,null,null,2025-11-24,2025-11-24T19:24:13.818Z
4900011414,00020,null,31204,null,ZSCA,SubContract PO,2023-05-18,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003887,Namariq Arabian Services Co. Ltd.,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-18,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2024-01-07,2023-05-24,2023-05-18,null,null,Packed Worker Food Lunch & Dinner,G121430,Food Expenses,null,null,7000,NO,10290,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020192,00010,null,33078,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003798,Al Himma Corporation for Customs,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,08,08-Rejected,null,null,2023-05-31,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,36276.32,null,null,2025-11-24,2025-11-24T19:24:13.818Z
